                  Delete,删除
Kansas,Kansas
Kanta-Hame,Kanta-Hame
Kanungu,Kanungu
Kaoh Kong,Kaoh Kong
Kaohsiung,Kaohsiung
Kaolack,Kaolack
Kapchorwa,Kapchorwa
Kapisa,Kapisa
Kara,Kara
Karabuk,Karabuk
Karachayevo-Cherkesskaya Respublika,Karachayevo-Cherkesskaya Respublika
Karaman,Karaman
Karas,Karas
Karbinci,Karbinci
Kardzhali,Kardzhali
"Kareliya, Respublika","Kareliya, Respublika"
Karlovacka zupanija,Karlovacka zupanija
Karlovarsky kraj,Karlovarsky kraj
Karnali,Karnali
Karnataka,Karnataka
Karnten,Karnten
Karonga,Karonga
Kars,Kars
Karuzi,Karuzi
Kasai,Kasai
Kasai Central,Kasai Central
Kasai Oriental,Kasai Oriental
Kasese,Kasese
Kaskazini Pemba,Kaskazini Pemba
Kaskazini Unguja,Kaskazini Unguja
Kassala,Kassala
Kasserine,Kasserine
Kastamonu,Kastamonu
Kasungu,Kasungu
Katakwi,Katakwi
Katsina,Katsina
Kauno apskritis,Kauno apskritis
Kavadarci,Kavadarci
Kavango East,Kavango East
Kayah,Kayah
Kayangel,Kayangel
Kayanza,Kayanza
Kayes,Kayes
Kayin,Kayin
Kayseri,Kayseri
Kayunga,Kayunga
Kazakhstan,Kazakhstan
Kebbi,Kebbi
Kebili,Kebili
Kedah,Kedah
Kedougou,Kedougou
Keelung,Keelung
Kekavas novads,Kekavas novads
Kelantan,Kelantan
Kemo-Gribingui,Kemo-Gribingui
Kenedougou,Kenedougou
Kentriki Makedonia,Kentriki Makedonia
Kentucky,Kentucky
Kenya,Kenya
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung
Kepulauan Riau,Kepulauan Riau
Kerala,Kerala
Kercem,Kercem
Kericho,Kericho
Kerman,Kerman
Kermanshah,Kermanshah
Kerouane,Kerouane
Kerry,Kerry
Keryneia,Keryneia
Keski-Pohjanmaa,Keski-Pohjanmaa
Keski-Suomi,Keski-Suomi
Key,Key
Kgalagadi,Kgalagadi
Kgatleng,Kgatleng
Khabarovskiy kray,Khabarovskiy kray
"Khakasiya, Respublika","Khakasiya, Respublika"
Khammouan,Khammouan
Khanh Hoa,Khanh Hoa
Khanty-Mansiyskiy avtonomnyy okrug,Khanty-Mansiyskiy avtonomnyy okrug
Kharkivska oblast,Kharkivska oblast
Khartoum,Khartoum
Khatlon,Khatlon
Khenchela,Khenchela
Khersonska oblast,Khersonska oblast
Khmelnytska oblast,Khmelnytska oblast
Khomas,Khomas
Khon Kaen,Khon Kaen
Khorasan-e Jonubi,Khorasan-e Jonubi
Khorasan-e Razavi,Khorasan-e Razavi
Khorasan-e Shomali,Khorasan-e Shomali
Khost,Khost
Khulna,Khulna
Khuzestan,Khuzestan
Khyber Pakhtunkhwa,Khyber Pakhtunkhwa
Kiambu,Kiambu
Kibaale,Kibaale
Kiboga,Kiboga
Kibuku,Kibuku
Kicevo,Kicevo
Kidal,Kidal
Kidricevo,Kidricevo
Kie-Ntem,Kie-Ntem
Kien Giang,Kien Giang
Kigoma,Kigoma
Kildare,Kildare
Kilifi,Kilifi
Kilimanjaro,Kilimanjaro
Kilis,Kilis
Kilkenny,Kilkenny
Kindia,Kindia
Kingston,Kingston
Kinmen,Kinmen
Kinshasa,Kinshasa
Kiribati,Kiribati
Kirikkale,Kirikkale
Kirinyaga,Kirinyaga
Kirklareli,Kirklareli
Kirkop,Kirkop
Kirkuk,Kirkuk
Kirovohradska oblast,Kirovohradska oblast
Kirsehir,Kirsehir
Kirundo,Kirundo
Kiryandongo,Kiryandongo
Kisii,Kisii
Kisoro,Kisoro
Kissidougou,Kissidougou
Kisumu,Kisumu
Kitgum,Kitgum
Kitui,Kitui
Klaipedos apskritis,Klaipedos apskritis
Kobarid,Kobarid
Koboko,Koboko
Kocaeli,Kocaeli
Kocani,Kocani
Kocevje,Kocevje
Kochi,Kochi
Kogi,Kogi
Kohgiluyeh va Bowyer Ahmad,Kohgiluyeh va Bowyer Ahmad
Kokneses novads,Kokneses novads
Kolasin,Kolasin
Kolda,Kolda
Kole,Kole
Kolubarski okrug,Kolubarski okrug
Komarom-Esztergom,Komarom-Esztergom
"Komi, Respublika","Komi, Respublika"
Kommune Kujalleq,Kommune Kujalleq
Kommuneqarfik Sermersooq,Kommuneqarfik Sermersooq
Komondjari,Komondjari
Kompienga,Kompienga
Konce,Konce
Kongo Central,Kongo Central
Konya,Konya
Koper,Koper
Koprivnicko-krizevacka zupanija,Koprivnicko-krizevacka zupanija
Korce,Korce
Kordestan,Kordestan
Koror,Koror
Kosi,Kosi
Kosicky kraj,Kosicky kraj
Kosovsko-Mitrovacki okrug,Kosovsko-Mitrovacki okrug
Kosrae,Kosrae
Kossi,Kossi
Kotido,Kotido
Kotor,Kotor
Koubia,Koubia
Koulikoro,Koulikoro
Koulpelogo,Koulpelogo
Koundara,Koundara
Kouritenga,Kouritenga
Kouroussa,Kouroussa
Kourweogo,Kourweogo
KPIs,关键指标
Krabi,Krabi
Kracheh,Kracheh
Kraj Vysocina,Kraj Vysocina
Kralovehradecky kraj,Kralovehradecky kraj
Kranj,Kranj
Kranjska Gora,Kranjska Gora
Krapinsko-zagorska zupanija,Krapinsko-zagorska zupanija
Kraslavas novads,Kraslavas novads
Krasnodarskiy kray,Krasnodarskiy kray
Krasnoyarskiy kray,Krasnoyarskiy kray
Kratovo,Kratovo
Kriti,Kriti
Kriva Palanka,Kriva Palanka
Krivogastani,Krivogastani
Krong Kaeb,Krong Kaeb
Krong Pailin,Krong Pailin
Krong Preah Sihanouk,Krong Preah Sihanouk
Kronobergs lan,Kronobergs lan
Krsko,Krsko
Krung Thep Maha Nakhon,Krung Thep Maha Nakhon
Krusevo,Krusevo
Kuando Kubango,Kuando Kubango
Kuhistoni Badakhshon,Kuhistoni Badakhshon
Kujawsko-pomorskie,Kujawsko-pomorskie
Kukes,Kukes
Kuldigas novads,Kuldigas novads
Kumamoto,Kumamoto
Kumanovo,Kumanovo
Kumi,Kumi
Kunar,Kunar
Kunduz,Kunduz
Kunene,Kunene
Kusini Pemba,Kusini Pemba
Kusini Unguja,Kusini Unguja
Kutahya,Kutahya
Kuwait,Kuwait
Kvemo Kartli,Kvemo Kartli
Kwajalein,Kwajalein
Kwale,Kwale
Kwango,Kwango
Kwanza Norte,Kwanza Norte
Kwanza Sul,Kwanza Sul
Kwara,Kwara
Kwazulu-Natal,Kwazulu-Natal
Kween,Kween
Kweneng,Kweneng
Kwilu,Kwilu
Kyankwanzi,Kyankwanzi
Kyegegwa,Kyegegwa
Kyenjojo,Kyenjojo
Kyiv,Kyiv
Kyivska oblast,Kyivska oblast
Kymenlaakso,Kymenlaakso
Kyoto,Kyoto
Kyrgyzstan,Kyrgyzstan
Kyustendil,Kyustendil
La Altagracia,La Altagracia
La Araucania,La Araucania
La Condamine,La Condamine
La Guajira,La Guajira
La Habana,La Habana
La Libertad,La Libertad
La Manouba,La Manouba
La Massana,La Massana
La Pampa,La Pampa
La Paz,La Paz
La Rioja,La Rioja
La Romana,La Romana
La Union,La Union
La Vega,La Vega
Laamu,Laamu
Laane-Virumaa,Laane-Virumaa
Laanemaa,Laanemaa
Labe,Labe
Laborie,Laborie
Lac,Lac
Lacin,Lacin
Lacs,Lacs
Lae,Lae
Laghman,Laghman
Laghouat,Laghouat
Lagos,Lagos
Laguna,Laguna
Lagunes,Lagunes
Lahij,Lahij
Lai Chau,Lai Chau
Laikipia,Laikipia
Lakes,Lakes
Lakshadweep,Lakshadweep
Lam Dong,Lam Dong
Lambayeque,Lambayeque
Lampang,Lampang
Lamphun,Lamphun
Lampung,Lampung
Lamu,Lamu
Lanao del Norte,Lanao del Norte
Lanao del Sur,Lanao del Sur
Landing pages,落地页
Lang Son,Lang Son
Language,语言
Lankaran,Lankaran
Lao Cai,Lao Cai
Laois,Laois
Laos,Laos
Lappi,Lappi
Lara,Lara
Larnaka,Larnaka
Las Tunas,Las Tunas
Lasko,Lasko
Last 30 days,最近 30 天
Last 7 days,最近 7 天
Last run,上次运行
Last synced,上次同步
Latency,延迟
Latvia,Latvia
Lavalleja,Lavalleja
Layout,布局
Lazio,Lazio
Le Kef,Le Kef
Leaderboard,排行榜
Leads,潜在客户
Learn more,了解更多
Lebanon,Lebanon
Lebap,Lebap
Lefkosia,Lefkosia
Leiria,Leiria
Leitrim,Leitrim
Lekoumou,Lekoumou
Lelouma,Lelouma
Lemesos,Lemesos
Lempira,Lempira
Lenart,Lenart
Lendava,Lendava
Leon,Leon
Leova,Leova
Leraba,Leraba
Leribe,Leribe
Lerik,Lerik
Lesotho,Lesotho
Less than,小于
Levels,等级
Leyte,Leyte
Lezhe,Lezhe
Liaoning,辽宁省
Lib,Lib
Liban-Nord,Liban-Nord
Liban-Sud,Liban-Sud
Liberecky kraj,Liberecky kraj
Liberia,Liberia
Libya,Libya
License,许可证
Licko-senjska zupanija,Licko-senjska zupanija
Liechtenstein,Liechtenstein
Liege,Liege
Lienchiang,Lienchiang
Liepaja,Liepaja
Lifetime Sales,累计销售额
Liguria,Liguria
Lija,Lija
Likes,点赞
Likiep,Likiep
Likoma,Likoma
Likouala,Likouala
Lilongwe,Lilongwe
Lima,Lima
Limbazu novads,Limbazu novads
Limburg,Limburg
Limerick,Limerick
Limit,限制
Limon,Limon
Limpopo,Limpopo
Lindi,Lindi
Line Islands,Line Islands
Lipkovo,Lipkovo
Lira,Lira
Lisboa,Lisboa
Listeners,监听器
Lists,列表
Lithuania,Lithuania
Litija,Litija
Litoral,Litoral
Littoral,Littoral
Live,正式环境
Live mode,正式模式
Ljubljana,Ljubljana
Ljutomer,Ljutomer
Loading,加载中…
Loading...,加载中…
Lobaye,Lobaye
Localization,本地化
Lodzkie,Lodzkie
Loei,Loei
Lofa,Lofa
Log in,登录
Log-Dragomer,Log-Dragomer
Logar,Logar
Logatec,Logatec
Logged in as,当前登录
Logging in...,登录中…
Logging out...,退出中…
Login,登录
Login failed,登录失败
Logone-Occidental,Logone-Occidental
Logone-Oriental,Logone-Oriental
Logout,退出
Logout failed,退出登录失败
Loja,Loja
Lola,Lola
Lomami,Lomami
Lombardia,Lombardia
Long An,Long An
Long description,详细描述
Long Island,Long Island
Longford,Longford
Look like you just started. No bestsellers yet.,看起来您刚开店，暂无畅销商品。
Lop Buri,Lop Buri
Lorestan,Lorestan
Loreto,Loreto
Lori,Lori
Loroum,Loroum
Los Lagos,Los Lagos
Los Rios,Los Rios
Los Santos,Los Santos
Loss,亏损
Louang Namtha,Louang Namtha
Louangphabang,Louangphabang
Louga,Louga
Louisiana,Louisiana
Louth,Louth
Lovech,Lovech
Lovrenc na Pohorju,Lovrenc na Pohorju
Low stock threshold,低库存阈值
Lower River,Lower River
Loyalty,忠诚度
Lozovo,Lozovo
LTV,客户终身价值
Lualaba,Lualaba
Luanda,Luanda
Luapula,Luapula
Lubanas novads,Lubanas novads
Lubelskie,Lubelskie
Lubombo,Lubombo
Lubuskie,Lubuskie
Ludzas novads,Ludzas novads
Luhanska oblast,Luhanska oblast
Lumbini,Lumbini
Lunda Norte,Lunda Norte
Lunda Sul,Lunda Sul
Luqa,Luqa
Lusaka,Lusaka
Luuka,Luuka
Luwero,Luwero
Luxembourg,Luxembourg
Luzern,Luzern
Lvivska oblast,Lvivska oblast
Lwengo,Lwengo
Lyantonde,Lyantonde
Maale,Maale
Macau SAR China,中国澳门
Macedonia,Macedonia
Macenta,Macenta
Machakos,Machakos
Machinga,Machinga
Macvanski okrug,Macvanski okrug
Madaba,Madaba
Madagascar,Madagascar
Madang,Madang
Madhya Pradesh,Madhya Pradesh
Madonas novads,Madonas novads
Madre de Dios,Madre de Dios
"Madrid, Comunidad de","Madrid, Comunidad de"
Madriz,Madriz
Mae Hong Son,Mae Hong Son
Mafeteng,Mafeteng
Magallanes,Magallanes
Magdalena,Magdalena
Maguindanao,Maguindanao
Magway,Magway
Maha Sarakham,Maha Sarakham
Mahaica-Berbice,Mahaica-Berbice
Mahajanga,Mahajanga
Mahakali,Mahakali
Maharashtra,Maharashtra
Mahdia,Mahdia
Mai-Ndombe,Mai-Ndombe
Maine,Maine
Maintenance,维护
Maintenance mode,维护模式
Maio,Maio
Majuro,Majuro
Makamba,Makamba
Makedonska Kamenica,Makedonska Kamenica
Makedonski Brod,Makedonski Brod
Makira-Ulawa,Makira-Ulawa
Makkah al Mukarramah,Makkah al Mukarramah
Makueni,Makueni
Malaita,Malaita
Malampa,Malampa
Malange,Malange
Malatya,Malatya
Malawi,Malawi
Malaysia,马来西亚
Maldives,Maldives
Maldonado,Maldonado
Mali,Mali
Maloelap,Maloelap
Malopolskie,Malopolskie
Malpils novads,Malpils novads
Malta,Malta
Maluku,Maluku
Maluku Utara,Maluku Utara
Mambere-Kadei,Mambere-Kadei
Mamou,Mamou
Manabi,Manabi
Manafwa,Manafwa
Manage general information about the collection.,管理商品集的基本信息。
Manage product attributes and attribute groups,管理商品属性与属性组
Manage product categories,管理商品分类
Manage product images and gallery. Drag and drop to reorder images.,管理商品图片与图库，可拖拽排序。
Manage Stock,管理库存
Manage tax classes and tax rates for different regions.,管理各区域的税类与税率。
Manage the attributes.,管理属性。
Manage the collections associated with this product.,管理与此商品关联的商品集。
Manage the general information of the attribute.,管理属性的基本信息。
Manage the general information of the category.,管理分类的基本信息。
Manage the general information of the product.,管理商品的基本信息。
Manage the inventory settings of the product.,管理商品的库存设置。
Manage the products assigned to this category.,管理分配到此分类的商品。
Manage the products assigned to this collection.,管理分配到此商品集的商品。
Manage the SEO settings of the category.,管理分类的 SEO 设置。
Manage the SEO settings.,管理 SEO 设置。
Manage the setting of the attribute.,管理属性设置。
Manage the shipping settings of the product.,管理商品的配送设置。
Manage the status settings of the category.,管理分类的状态设置。
Manage the variant group of the product.,管理商品的规格组。
Managua,Managua
Manawatu-Wanganui,Manawatu-Wanganui
Manchester,Manchester
Mandalay,Mandalay
Mandera,Mandera
Mandiana,Mandiana
Mandoul,Mandoul
Mangghystau oblysy,Mangghystau oblysy
Mangochi,Mangochi
Manica,Manica
Manicaland,Manicaland
Maniema,Maniema
Manipur,Manipur
Manisa,Manisa
Manitoba,Manitoba
Manual sync,手动同步
Manufacturers,制造商
Manus,Manus
Manyara,Manyara
Manzini,Manzini
Mapping,映射
Maputo,Maputo
Mara,Mara
Maracha,Maracha
Maradi,Maradi
Maramures,Maramures
Maranhao,Maranhao
Marche,Marche
Mardin,Mardin
Margibi,Margibi
Margin,利润率
Maria Trinidad Sanchez,Maria Trinidad Sanchez
Maribor,Maribor
Marijampoles apskritis,Marijampoles apskritis
Marinduque,Marinduque
Maritime,Maritime
"Mariy El, Respublika","Mariy El, Respublika"
Mark as shipped,标记为已发货
Markazi,Markazi
Marketplace,市场
Marlborough,Marlborough
Marowijne,Marowijne
Marrakech-Tensift-Al Haouz,Marrakech-Tensift-Al Haouz
Marsa,Marsa
Marsabit,Marsabit
Marsaxlokk,Marsaxlokk
Marshall Islands,Marshall Islands
Martinique,Martinique
Mary,Mary
Maryland,Maryland
Masaka,Masaka
Masalli,Masalli
Masaya,Masaya
Masbate,Masbate
Mascara,Mascara
Maseru,Maseru
Mashonaland Central,Mashonaland Central
Mashonaland East,Mashonaland East
Mashonaland West,Mashonaland West
Masindi,Masindi
Masqat,Masqat
Massachusetts,Massachusetts
Masvingo,Masvingo
Matabeleland North,Matabeleland North
Matabeleland South,Matabeleland South
Matagalpa,Matagalpa
Matam,Matam
Matanzas,Matanzas
Mato Grosso,Mato Grosso
Mato Grosso do Sul,Mato Grosso do Sul
Matruh,Matruh
Maule,Maule
Mauren,Mauren
Mauritania,Mauritania
Mauritius,Mauritius
Mavrovo i Rostusa,Mavrovo i Rostusa
Max of Y,Y 的最大值
Maximum,最多
Maximum order amount,最高订单金额
Maximum quantity is required,请填写最大数量
Maximum quantity must be greater than or equal to 0,最大数量不能小于 0
Mayabeque,Mayabeque
Mayaro-Rio Claro,Mayaro-Rio Claro
Mayo,Mayo
Mayo-Kebbi-Est,Mayo-Kebbi-Est
Mayo-Kebbi-Ouest,Mayo-Kebbi-Ouest
Mayotte,Mayotte
Maysan,Maysan
Mayuge,Mayuge
Mazandaran,Mazandaran
Mazowieckie,Mazowieckie
Mbale,Mbale
Mbarara,Mbarara
Mbeya,Mbeya
Mbomou,Mbomou
Mchinji,Mchinji
Meath,Meath
Mechi,Mechi
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
Medea,Medea
Medenine,Medenine
Media,媒体
Medimurska zupanija,Medimurska zupanija
Mediums,媒介
Medvode,Medvode
Meemu,Meemu
Meghalaya,Meghalaya
Mehedinti,Mehedinti
Mejit,Mejit
Meknes-Tafilalet,Meknes-Tafilalet
Melaka,Melaka
Melekeok,Melekeok
Melilla,Melilla
Mellieha,Mellieha
Memory,内存
Mendoza,Mendoza
Menges,Menges
Menu,菜单
Merida,Merida
Mersin,Mersin
Meru,Meru
Message,消息
Meta,Meta
Meta description,Meta 描述
Meta Description,Meta 描述
Meta description is required,请填写 Meta 描述
Meta title,Meta 标题
Meta Title,Meta 标题
Meta title is required,请填写 Meta 标题
Method,方法
Method name,方式名称
Methods,方式
Metlika,Metlika
Metrics,指标
Mexico,墨西哥
Mezica,Mezica
Miaoli,Miaoli
Michigan,Michigan
Michoacan de Ocampo,Michoacan de Ocampo
Micoud,Micoud
Micronesia,Micronesia
Middleware,中间件
Midlands,Midlands
Midtjylland,Midtjylland
Mie,Mie
Migori,Migori
Miklavz na Dravskem Polju,Miklavz na Dravskem Polju
Mila,Mila
Mili,Mili
Milne Bay,Milne Bay
Min Price,最低价
Min Weight,最小重量
Minas Gerais,Minas Gerais
Mindoro Occidental,Mindoro Occidental
Mindoro Oriental,Mindoro Oriental
Mingacevir,Mingacevir
Minimum,最小值
Minimum order amount,最低订单金额
Minimum purchase amount,最低购买金额
Minimum purchase qty,最低购买数量
Minimum purchase quantity,最低购买数量
Minimum purchased amount. This only applies to registered customers.,最低购买金额，仅适用于已注册客户。
Minimum quantity,最低数量
Minnesota,Minnesota
Miranda,Miranda
Miren-Kostanjevica,Miren-Kostanjevica
Misamis Occidental,Misamis Occidental
Misamis Oriental,Misamis Oriental
Misiones,Misiones
Mislinja,Mislinja
Misratah,Misratah
Mississippi,Mississippi
Missouri,Missouri
Mitooma,Mitooma
Mityana,Mityana
Miyagi,Miyagi
Miyazaki,Miyazaki
Mizoram,Mizoram
Mjini Magharibi,Mjini Magharibi
Models,模型
Modules,模块
Mogila,Mogila
Moheli,Moheli
Mojkovac,Mojkovac
Moka,Moka
Mokhotlong,Mokhotlong
Moldova,Moldova
Molise,Molise
Mombasa,Mombasa
Mon,Mon
Monaco,Monaco
Monaco-Ville,Monaco-Ville
Monagas,Monagas
Monaghan,Monaghan
Monastir,Monastir
Mondol Kiri,Mondol Kiri
Moneghetti,Moneghetti
Mongala,Mongala
Monggar,Monggar
Mongolia,Mongolia
Mono,Mono
Monsenor Nouel,Monsenor Nouel
Mont-Liban,Mont-Liban
Montagnes,Montagnes
Montana,Montana
Monte Cristi,Monte Cristi
Monte Plata,Monte Plata
Monte-Carlo,Monte-Carlo
Montenegro,Montenegro
Montevideo,Montevideo
Monthly,按月
Montserrado,Montserrado
Montserrat,Montserrat
Mopti,Mopti
Moquegua,Moquegua
Moravicki okrug,Moravicki okrug
Moravskoslezsky kraj,Moravskoslezsky kraj
Morazan,Morazan
"Mordoviya, Respublika","Mordoviya, Respublika"
More og Romsdal,More og Romsdal
Morelos,Morelos
Morobe,Morobe
Morocco,Morocco
Morogoro,Morogoro
Morona-Santiago,Morona-Santiago
Moroto,Moroto
Moskva,Moskva
Mosta,Mosta
Mostaganem,Mostaganem
Mosteiros,Mosteiros
Mouhoun,Mouhoun
Mountain Province,Mountain Province
Move,移动
Moxico,Moxico
Moyen-Chari,Moyen-Chari
Moyen-Ogooue,Moyen-Ogooue
Moyo,Moyo
Mozambique,Mozambique
Mozirje,Mozirje
Mpigi,Mpigi
Mpumalanga,Mpumalanga
Mqabba,Mqabba
Msida,Msida
Mtskheta-Mtianeti,Mtskheta-Mtianeti
Mtwara,Mtwara
Mubarak al Kabir,Mubarak al Kabir
Mubende,Mubende
Mudug,Mudug
Mugla,Mugla
Mukdahan,Mukdahan
Mukono,Mukono
Mulanje,Mulanje
Multiselect,多选
Muramvya,Muramvya
"Murcia, Region de","Murcia, Region de"
Mures,Mures
Murska Sobota,Murska Sobota
Murzuq,Murzuq
Mus,Mus
Musandam,Musandam
Must be unique,必须唯一
Muta,Muta
Muyinga,Muyinga
Mwanza,Mwanza
Mwaro,Mwaro
My Account,我的账户
Myanmar [Burma],Myanmar [Burma]
Mykolaivska oblast,Mykolaivska oblast
Mzimba,Mzimba
Naama,Naama
Nabatiye,Nabatiye
Nabeul,Nabeul
Nablus,Nablus
Nadur,Nadur
Naftalan,Naftalan
Nagaland,Nagaland
Nagano,Nagano
Nagasaki,Nagasaki
Nahouri,Nahouri
Nairobi City,Nairobi City
Najran,Najran
Nakapiripirit,Nakapiripirit
Nakaseke,Nakaseke
Nakasongola,Nakasongola
Nakhon Nayok,Nakhon Nayok
Nakhon Pathom,Nakhon Pathom
Nakhon Phanom,Nakhon Phanom
Nakhon Ratchasima,Nakhon Ratchasima
Nakhon Sawan,Nakhon Sawan
Nakhon Si Thammarat,Nakhon Si Thammarat
Nakuru,Nakuru
Nalut,Nalut
Nam Dinh,Nam Dinh
Namangan,Namangan
Namayingo,Namayingo
Namdrik,Namdrik
Name,名称
Namentenga,Namentenga
Namibe,Namibe
Namibia,Namibia
Nampula,Nampula
Namu,Namu
Namur,Namur
Namutumba,Namutumba
Nan,Nan
Nana-Mambere,Nana-Mambere
Nandi,Nandi
Nangarhar,Nangarhar
Nantou,Nantou
Napak,Napak
Napo,Napo
Nara,Nara
Narathiwat,Narathiwat
Narayani,Narayani
Narino,Narino
Narok,Narok
Naryn,Naryn
Nasarawa,Nasarawa
Nason,Nason
National Capital District (Port Moresby),National Capital District (Port Moresby)
National Capital Region,National Capital Region
Nauru,Nauru
"Navarra, Comunidad Foral de","Navarra, Comunidad Foral de"
Navoiy,Navoiy
Navy,藏青
Naxcivan,Naxcivan
Naxxar,Naxxar
Nay Pyi Taw,Nay Pyi Taw
Nayala,Nayala
Nayarit,Nayarit
NBC Failed,NBC 付款失败
NBC Paid,NBC 已付款
NBC Partial Refunded,NBC 部分退款
NBC payment failed,NBC 支付失败
NBC Pending,NBC 待确认
NBC Refunded,NBC 已退款
NBC Wallet,NBC 钱包
NBC Chain,NBC 链
Neamt,Neamt
Nebbi,Nebbi
Nebraska,Nebraska
Neembucu,Neembucu
Neftcala,Neftcala
Negeri Sembilan,Negeri Sembilan
Negotino,Negotino
Negros Occidental,Negros Occidental
Negros Oriental,Negros Oriental
Nei Mongol,内蒙古自治区
Nelson,Nelson
Nenetskiy avtonomnyy okrug,Nenetskiy avtonomnyy okrug
Neno,Neno
Nepal,Nepal
Netherlands,Netherlands
Netherlands Antilles,Netherlands Antilles
Network,网络
Neuchatel,Neuchatel
Neuquen,Neuquen
Nevada,Nevada
Nevsehir,Nevsehir
New,新建
New Attribute,新建属性
New Brunswick,New Brunswick
New Caledonia,New Caledonia
New Category,新建分类
New Collection,新建商品集
New coupon,新建优惠券
New Coupon,新建优惠券
New Customer,新建客户
New folder,新建文件夹
New Hampshire,New Hampshire
New Ireland,New Ireland
New Jersey,New Jersey
New Mexico,New Mexico
New Order,新建订单
New Page,新建页面
New Product,新建商品
New South Wales,New South Wales
New Taipei,New Taipei
New Variant,新建规格
New Widget,新建小部件
New York,New York
New Zealand,New Zealand
Newfoundland and Labrador,Newfoundland and Labrador
Newsletter,通讯
Next,下一页
Next run,下次运行
Ngaraard,Ngaraard
Ngarchelong,Ngarchelong
Ngardmau,Ngardmau
Ngatpang,Ngatpang
Nghe An,Nghe An
Ngiwal,Ngiwal
Ngora,Ngora
Ngounie,Ngounie
Ngozi,Ngozi
Niamey,Niamey
Niari,Niari
Niassa,Niassa
Nicaragua,Nicaragua
Nickerie,Nickerie
Nidwalden,Nidwalden
Niederosterreich,Niederosterreich
Niedersachsen,Niedersachsen
Nigde,Nigde
Niger,Niger
Nigeria,Nigeria
Niigata,Niigata
Niksic,Niksic
Nimba,Nimba
Nimroz,Nimroz
Ninawa,Ninawa
Ningxia,宁夏回族自治区
Ninh Binh,Ninh Binh
Ninh Thuan,Ninh Thuan
Nippes,Nippes
Nisavski okrug,Nisavski okrug
Nisporeni,Nisporeni
Nitriansky kraj,Nitriansky kraj
Niue,Niue
Nkhata Bay,Nkhata Bay
Nkhotakota,Nkhotakota
No,否
No address data received,未收到地址数据
No attribute groups found for query ,No attribute groups found for query 
"No attribute groups found for query ""${query}""",未找到与「${query}」匹配的属性组
No categories found for ,未找到分类：
No coupon to remove,没有可移除的优惠券
No data available,暂无数据
No free shipping,不免运费
No options found for ,未找到选项：
No payment methods available,暂无可用支付方式
No product to display.,暂无商品。
No products found,未找到商品
No results for ,No results for 
"No results for ""${keyword}""",未找到“${keyword}”的相关结果
No results found,未找到结果
No shipping is required for this order,此订单无需配送
No shipping methods available,暂无可用配送方式
No shipping options are available for your location,您所在地区暂无配送选项
No shipping required,无需配送
No Shipping Required,无需配送
No shipping required?,无需配送？
No transactions yet,暂无交易记录
No Web3 wallet detected. Install MetaMask or another wallet.,未检测到 Web3 钱包，请安装 MetaMask 或其他钱包。
Nograd,Nograd
Nohiyahoi Tobei Jumhuri,Nohiyahoi Tobei Jumhuri
None,无
Nong Bua Lam Phu,Nong Bua Lam Phu
Nong Khai,Nong Khai
Nonthaburi,Nonthaburi
Noonu,Noonu
Noord-Brabant,Noord-Brabant
Noord-Holland,Noord-Holland
Nord,Nord
Nord-Est,Nord-Est
Nord-Kivu,Nord-Kivu
Nord-Ouest,Nord-Ouest
Nord-Trondelag,Nord-Trondelag
Nord-Ubangi,Nord-Ubangi
Nordjylland,Nordjylland
Nordland,Nordland
Nordrhein-Westfalen,Nordrhein-Westfalen
Nordurland eystra,Nordurland eystra
Nordurland vestra,Nordurland vestra
Norfolk Island,Norfolk Island
Normandie,Normandie
Norrbottens lan,Norrbottens lan
Norte de Santander,Norte de Santander
North Bank,North Bank
North Carolina,North Carolina
North Central Province,North Central Province
North Dakota,North Dakota
North Darfur,North Darfur
North East,North East
North Kordofan,North Kordofan
North Korea,朝鲜
North West,North West
North Western Province,North Western Province
North-West,North-West
North-Western,North-Western
Northern,Northern
Northern Bahr el Ghazal,Northern Bahr el Ghazal
Northern Cape,Northern Cape
Northern Ireland,Northern Ireland
Northern Mariana Islands,Northern Mariana Islands
Northern Province,Northern Province
Northern Samar,Northern Samar
Northern Territory,Northern Territory
Northland,Northland
Northwest Territories,Northwest Territories
Norway,Norway
Not contains,不包含
Not equal,不等于
Not equals,不等于
Not found,未找到
Not in,不包含
Notes,备注
Notifications,通知
Notio Aigaio,Notio Aigaio
Nouakchott Nord,Nouakchott Nord
Noumbiel,Noumbiel
Nouvelle-Aquitaine,Nouvelle-Aquitaine
Nova Gorica,Nova Gorica
Nova Scotia,Nova Scotia
Novaci,Novaci
Novo Mesto,Novo Mesto
Novo Selo,Novo Selo
NPS,净推荐值
Nsanje,Nsanje
Ntcheu,Ntcheu
Ntchisi,Ntchisi
Ntoroko,Ntoroko
Ntungamo,Ntungamo
Nueva Ecija,Nueva Ecija
Nueva Esparta,Nueva Esparta
Nueva Segovia,Nueva Segovia
Nueva Vizcaya,Nueva Vizcaya
Nuevo Leon,Nuevo Leon
Nugaal,Nugaal
Nunavut,Nunavut
Nuristan,Nuristan
Nusa Tenggara Barat,Nusa Tenggara Barat
Nusa Tenggara Timur,Nusa Tenggara Timur
Nyamira,Nyamira
Nyanga,Nyanga
Nyeri,Nyeri
